LYLTY_CARD_NBR,Recency,Frequency,Monetary
1000,216,1,6.0
1307,7,1,6.300000000000001
1343,1,1,2.9
2373,277,1,15.0
2426,276,1,13.8
4074,2,1,5.1
4149,5,1,5.7
4196,5,1,3.6
5026,274,1,3.9
7150,276,1,7.2
7215,4,1,5.7
8294,274,1,23.0
9208,3,1,9.2
13213,277,1,1.7
19272,6,1,3.3
20164,2,1,2.1
20418,276,1,9.2
22411,280,1,3.0
22456,277,1,3.9
23067,5,1,2.1
25105,2,1,5.7
33081,278,1,3.0
36012,278,1,3.8
36302,275,1,5.4
38142,279,1,9.2
39144,6,1,5.1
39167,275,1,6.0
41423,6,1,5.4
41486,279,1,2.7
43110,1,1,3.8
43147,5,1,3.7
43227,6,1,14.8
45127,1,1,5.4
45220,3,1,3.3
51100,275,2,5.7
51113,276,1,5.4
54226,277,1,4.4
54305,276,1,6.6
55072,7,2,5.6
55073,1,2,7.85
55202,5,1,3.0
56013,276,1,2.6
58324,5,1,5.4
59344,5,1,3.8
60038,278,1,3.8
60162,6,1,5.7
62177,7,1,4.6
63201,1,1,2.6
67053,274,1,5.4
71122,1,1,3.3
71212,2,1,5.8
72094,277,1,5.7
72335,5,1,3.8
74336,5,1,15.5
75091,7,1,7.8
75186,275,1,9.2
75309,280,1,4.2
80182,274,1,5.4
81357,1,1,5.4
82114,7,1,7.4
82480,6,1,2.6
83008,1,2,16.0
83062,7,1,7.4
83186,278,1,6.5
84096,4,1,4.4
88320,1,1,9.2
94077,5,1,4.3
94233,279,1,5.1
96203,275,1,28.5
97033,6,1,3.8
97159,278,1,7.5
101170,276,1,3.0
102115,277,1,5.4
104187,277,1,4.3
106050,280,1,3.9
106147,278,1,5.4
109028,1,2,10.5
110013,7,1,2.9
111487,6,1,2.6
112046,276,1,5.4
114185,3,1,3.6
115381,2,1,3.0
116184,279,1,5.1
118007,274,1,4.4
119051,5,1,3.7
119057,2,1,5.4
119282,2,1,5.4
120226,3,1,2.7
122113,276,1,3.9
122185,5,1,3.8
125251,6,1,5.4
128148,280,1,4.4
128231,276,2,7.1
129134,6,1,3.4
130108,1,1,19.0
130356,7,1,11.8
133250,6,1,17.6
149225,5,1,4.4
149317,274,1,4.6
151325,279,1,4.6
151427,2,1,5.4
152042,277,1,9.0
152117,5,1,3.8
153106,1,1,13.2
153220,279,1,9.2
156236,3,2,5.699999999999999
157123,277,1,3.7
157185,278,1,10.2
160136,275,1,13.0
160153,279,1,4.2
161280,5,1,3.0
164183,2,1,2.7
166235,279,1,3.3
166251,279,1,3.8
166261,1,1,7.8
167405,3,1,3.8
168213,4,1,7.8
168219,4,1,15.2
169267,274,1,5.8
172006,275,1,5.4
172068,1,2,14.4
173154,276,2,13.799999999999999
175306,275,1,5.1
178036,280,1,4.4
178093,3,1,9.2
181265,277,1,6.6
184229,278,1,3.9
186188,7,1,3.3
186401,274,1,14.5
187144,4,1,5.4
191094,277,1,5.6
191200,5,2,8.4
194066,2,1,10.8
194161,274,1,3.9
196121,280,1,5.8
197172,6,1,1.7
200162,276,1,4.6
205151,6,2,12.200000000000001
207007,4,1,10.4
207091,2,1,3.3
207182,276,1,11.4
208081,4,1,2.9
208139,4,1,4.2
209180,1,1,2.1
212194,2,1,3.7
212201,3,1,3.7
212203,7,1,3.25
214277,276,1,1.5
215129,277,1,4.6
216104,5,1,4.6
217168,277,1,4.6
219065,3,1,4.6
222079,277,1,4.3
222209,4,2,18.6
223062,275,1,1.8
223130,277,1,2.6
225242,280,1,3.3
226133,6,1,4.6
227220,277,1,3.7
235158,280,1,4.4
236216,278,1,10.8
236247,2,1,1.7
237227,274,1,8.4
237293,278,1,3.8
241222,276,1,5.2
243070,4,1,4.2
243342,1,1,5.1
246078,3,1,3.7
246266,6,1,3.8
247223,1,1,3.6
248409,277,1,5.699999999999999
250314,4,1,3.7
253032,2,1,4.4
253295,2,1,13.2
255206,3,1,3.7
256041,275,1,4.6
257121,2,1,5.9
257168,275,1,5.4
257241,3,1,2.6
257258,277,1,18.4
